,Unigene ID,BREAST_BT549,BREAST_HS578T,BREAST_MCF7,BREAST_MCF7ADRr,BREAST_MDAMB231,BREAST_MDAMB435,BREAST_MDAN,BREAST_T47D,CNS_SF268,CNS_SF295,CNS_SF539,CNS_SNB19,CNS_SNB75,CNS_U251,COLON_COLO205,COLON_HCC2998,COLON_HCT116,COLON_HCT15,COLON_HT29,COLON_KM12,COLON_SW620,LEUK_CCRFCEM,LEUK_HL60,LEUK_K562,LEUK_MOLT4,LEUK_RPMI8226,LEUK_SR,MELAN_LOXIMVI,MELAN_M14,MELAN_MALME3M,MELAN_SKMEL2,MELAN_SKMEL28,MELAN_SKMEL5,MELAN_UACC257,MELAN_UACC62,NSCLC_A549,NSCLC_EKVX,NSCLC_H226,NSCLC_H23,NSCLC_H322M,NSCLC_H460,NSCLC_H522,NSCLC_HOP62,NSCLC_HOP92,OVAR_IGROV1,OVAR_OVCAR3,OVAR_OVCAR4,OVAR_OVCAR5,OVAR_OVCAR8,OVAR_SKOV3,PROSTATE_DU145,PROSTATE_PC3,RENAL_7860,RENAL_A498,RENAL_ACHN,RENAL_CAKI1,RENAL_RXF393,RENAL_SN12C,RENAL_TK10,RENAL_UO31
79617,Hs.516851,-0.394,-0.615,-0.62,0.094,0.088,0.077,0.553,-0.161,-1.607,-0.493,-0.288,-0.166,-0.825,-0.051,1.165,0.428,-0.073,0.213,-0.088,-0.575,0.735,0.756,0.591,0.117,0.401,0.337,0.177,0.347,-0.616,0.379,1.09,1.024,1.088,0.666,1.154,0.587,0.077,-1.084,0.158,-1.501,0.482,-0.783,0.458,-1.679,0.409,-0.076,-0.191,-0.1,0.253,0.01,-0.457,0.358,0.145,-0.744,0.546,-0.673,0.661,-1.943,1.078,0.337
86102,Hs.498514,-2.122,0.264,-2.138,-2.447,-2.438,-2.581,-2.235,-0.984,-1.643,0.899,-1.812,-0.543,-0.398,-2.601,2.985,3.869,-2.144,-2.17,-1.285,-2.246,-0.004,-1.101,-1.469,0.013,-2.738,0.701,-2.187,-1.781,-1.217,-1.812,-1.471,-2.305,-1.942,-2.513,-2.374,3.785,1.132,-2.953,-1.66,2.414,3.264,-1.203,-1.92,-1.47,-1.738,-1.775,-0.633,-1.619,-3.206,0.973,-2.232,-2.081,-2.423,3.186,-1.383,-0.513,-1.719,-3.927,-1.679,-2.392
21822,Hs.375108,0.157,-3.847,-0.652,0.437,-6.757,-7.229,-6.712,1.999,-3.5,-0.705,-0.631,-1.202,-3.318,-1.763,1.203,-1.552,-3.46,-2.798,-1.293,1.248,-0.829,-3.833,-4.217,-4.429,-4.445,-4.916,-5.361,-4.679,-3.517,-3.92,-4.913,-4.217,-5.43,-4.129,-4.861,1.074,1.631,-3.671,-4.641,0.584,-0.654,0.1,-3.386,-6.206,1.336,1.336,0.917,-0.749,-0.558,0.253,-0.046,-1.496,1.914,1.875,1.746,1.736,1.264,-3.357,0.208,0.664
22264,Hs.369263,1.26,1.19,-2.108,-0.45,-0.876,0.586,0.591,-1.718,-0.384,-0.251,-0.178,-0.063,0.107,-0.589,-0.774,-0.66,-0.941,-1.169,-0.427,-0.156,-1.728,-1.804,-2.608,-3.273,-2.816,-3.247,-1.646,0.096,1.111,0.083,0.476,0.881,0.069,0.735,1.015,-0.158,0.438,1.214,-0.951,-0.978,-0.108,-3.026,0.123,-0.557,-1.163,-1.571,0.509,-0.479,0.163,1.459,-0.694,-0.65,0.794,0.445,0.774,0.65,0.243,-0.386,1.481,0.565
23933,Hs.129673,0.531,0.717,0.239,0.724,0.737,1.546,1.542,0.212,0.769,0.463,0.445,0.647,-0.263,1.118,0.426,0.341,0.404,0.209,0.141,-0.056,0.831,1.858,0.208,-0.107,0.358,-0.354,1.455,0.557,1.445,0.81,0.544,0.88,0.953,1.165,1.511,0.585,-0.18,0.431,0.497,-0.033,0.531,-0.231,0.661,0.136,0.87,-0.26,-0.341,0.032,-0.009,-1.269,0.758,0.263,0.792,0.582,0.604,-0.017,0.535,0.458,0.076,0.311
108837,Hs.303649,-0.712,-1.756,-5.317,-4.498,-5.619,-4.768,-4.443,-3.003,-3.478,2.126,-0.354,-1.64,0.927,2.502,-5.253,-5.398,-3.297,-3.965,-2.92,-4.964,-4.177,-4.687,1.501,-2.982,-4.997,-2.909,-3.507,-2.916,-3.436,-3.595,-3.424,-4.582,-4.421,-3.233,-4.799,-0.583,2.575,2.448,-0.243,-3.903,-3.826,-3.828,1.319,-4.197,-4.045,-3.589,0.63,-2.742,-5.252,-4.196,-3.647,-3.028,-0.953,2.467,-2.015,-4.443,0.151,0.523,-4.97,-0.297
108840,Hs.523936,-0.44,1.436,-0.612,1.473,0.977,0.802,0.886,1.558,-0.045,0.974,0.146,1.176,0.784,0.172,-1.532,-1.462,0.373,0.133,-1.278,-0.188,0.353,-2.77,-0.059,-0.906,-2.83,0.48,-0.383,-0.13,-0.15,-0.461,0.232,1.074,0.595,0.852,1.41,0.36,0.805,-2.135,0.445,0.014,0.309,0.371,0.163,0.604,0.963,-0.812,0.224,0.854,0.643,-0.437,0.297,-0.322,0.495,0.489,0.854,1.014,1.015,0.273,0.223,1.525
112383,Hs.437367,0.577,-0.64,-1.176,0.163,-0.155,-0.11,-0.187,1.476,1.131,0.124,0.494,1.37,0.038,1.011,0.488,0.912,0.401,0.194,-0.176,1.239,1.651,0.595,-0.233,0.03,0.512,0.967,1.059,-0.022,-0.073,0.093,0.401,0.433,2.016,1.14,0.856,0.745,1.451,-1.211,0.841,0.403,-0.808,1.773,0.436,1.062,0.62,-0.107,0.168,0.441,-0.236,-0.899,0.698,0.684,0.512,-0.169,0.901,0.276,-0.431,0.01,-0.628,0.708
114116,Hs.1501,-0.355,0.796,-0.774,-0.622,-0.397,0.418,0.189,0.478,0.192,-0.607,-0.713,-0.192,0.082,0.438,0.045,-0.989,-1.009,-0.762,-0.48,-1.973,-1.592,-1.198,-0.844,-1.393,-1.217,0.216,0.915,0.231,0.661,0.752,0.045,0.149,-0.701,-0.457,0.214,-0.061,0.768,0.828,-0.622,-1.29,-0.022,-1.658,0.27,0.841,-0.03,-1.529,1.706,-0.434,0.285,-0.356,-0.171,-1.437,-0.854,-1.578,-1.39,-1.808,0.376,-0.582,-0.787,-0.059
116819,Hs.525589,-0.69,-1.198,-1.119,-0.987,-0.167,-1.522,-1.576,1.422,-1.069,-0.778,-0.392,-0.854,-0.822,-0.269,1.813,0.693,-0.784,0.385,0.841,0.442,1.309,-0.3,-0.38,-0.004,-0.808,-0.624,-1.027,-0.529,-1.147,-0.348,-0.459,-0.637,-0.724,-0.798,0.058,-0.46,1.435,0.472,-0.435,1.369,0.298,-1.286,-0.083,0.687,0.259,-0.326,-0.632,0.961,-1.463,-0.204,-0.08,-0.392,-0.11,-0.408,0.294,0.515,0.143,-0.263,0.933,0.448
122347,Hs.298248,-1.686,-0.766,0.662,-0.284,-0.8,-0.245,-0.032,-0.16,-1.902,-1.113,0.042,-1.065,-1.477,-1.103,0.486,-0.219,-0.451,-0.048,-0.819,0.258,-0.091,0.151,0.986,1.054,-0.319,-0.56,-1.73,-0.302,0.063,-0.623,-0.966,-0.134,-0.256,-0.003,-0.386,-0.573,-0.018,-1.092,-0.228,-0.321,-1.283,-0.053,-0.871,-1.222,-0.195,0.161,-0.007,0.246,-0.545,0.497,-0.271,-0.549,-0.647,-0.655,-0.823,-1.099,-0.849,-1.785,-0.32,-1.383
124918,Hs.213264,0.311,0.779,-2.267,-0.27,-0.387,-1.039,-0.206,-0.843,-2.215,-0.617,-0.442,-1.224,-0.774,0.315,0.308,-0.734,-0.048,-0.219,-0.162,0.092,0.908,0.17,0.618,0.979,0.04,0.608,0.143,-0.126,-0.631,-1.505,-0.277,-1.043,0.274,-0.233,0.392,-0.74,-1.307,-0.072,0.365,-0.817,-1.106,-0.567,-0.199,-1.665,-0.507,-0.589,-0.22,-1.836,-0.917,-1.33,-0.103,-0.137,-0.462,-0.683,-1.466,-0.02,0.055,-0.208,-1.235,-0.681
125308,Hs.458272,-4.623,-4.994,-5.3,-4.774,-7.276,-6.735,-6.989,-3.808,-7.128,-4.024,-4.515,-5.254,-3.276,-5.736,-5.297,-4.133,-3.434,-3.933,-5.339,-3.935,-4.939,-4.591,1.696,-6.264,-5.213,-3.835,-5.984,-3.046,-3.676,-3.345,-4.504,-4.13,-6.886,-3.725,-4.749,-3.714,-2.932,-5.153,-4.869,-4.04,-4.38,-5.104,-5.67,-7.165,-3.4,-4.392,-3.558,-3.434,-5.323,-5.208,-3.639,-3.46,-5.959,-3.427,-3.75,-5.56,-4.833,-6.027,-4.415,-6.118
126471,Hs.408623,0.775,0.564,-0.884,-0.103,0.638,0.306,0.022,-0.09,0.391,1.156,0.568,0.63,0.662,0.853,-0.294,0.936,1.239,-0.49,-0.327,0.457,0.897,-0.692,-0.454,-0.668,-4.028,0.371,2.568,0.353,1.092,-0.164,1.555,-0.586,0.882,0.285,1.245,0.84,1.393,1.223,0.715,0.199,1.314,0.634,1.008,1.144,0.779,-1.362,-0.539,2.127,0.404,0.542,0.759,0.184,0.227,0.671,0.838,0.225,0.939,0.516,-0.493,1.418
128329,Hs.502745,2.593,-1.182,-1.936,0.02,0.691,-1.645,-1.272,-0.685,0.642,0.783,0.242,-0.823,-0.183,1.779,-3.696,0.138,-1.58,-1.312,-2.778,1.337,-1.946,1.529,1.364,-1.156,1.448,1.686,0.211,-2.011,-1.822,0.221,-2.654,-2.678,-3.043,-1.588,-1.934,0.957,-1.271,1.391,-1.31,-0.09,0.595,0.95,0.598,-1.293,-0.761,0.845,-1.138,-1.576,-0.372,-0.333,1.479,0.875,0.85,-1.621,-1.736,-0.089,-0.956,2.647,-2.532,1.987
25831,Hs.524438,-2.139,-3.167,-0.428,-1.22,-2.446,-5.515,-5.324,-0.63,-4.373,-2.748,-3.264,-4.281,-3.841,-1.351,-0.296,-1.714,-1.288,-1.704,-0.869,-0.483,-1.2,-2.591,-3.277,-3.43,-4.638,-0.809,-5.491,-3.606,-2.982,-2.949,-3.907,-3.026,-5.059,-3.094,-4.589,1.042,0.545,1.509,-3.75,0.356,-0.433,-3.655,-0.5,-3.305,-2.507,0.692,1.042,-1.38,-0.463,-0.422,-0.518,-1.85,-1.938,-1.878,-1.915,-2.565,-3.61,-2,-2.034,-1.61
25718,Hs.435556,-0.042,0.268,-0.173,0.445,0.283,1.887,1.75,-0.228,-0.299,0.408,0.296,-0.701,-0.156,-0.419,-0.218,0.27,-0.22,0.179,-0.203,0.967,-0.087,-0.103,0.079,0.347,-0.191,0.139,-0.228,-0.074,0.81,1.15,0.618,1.387,1.473,0.673,1.386,0.259,0.039,0.597,-0.459,0.08,0.023,0.009,-0.426,0.022,0.631,0.353,0.037,0.279,0.415,0.237,-0.153,0.261,0.617,0.531,0.118,0.555,0.515,0.64,0.044,0.331
26811,Hs.171190,-1.379,0.109,0.708,-0.882,-0.259,-1.062,-0.83,-1.119,-0.558,-0.115,-0.539,-0.809,-0.487,-1.102,-0.524,0.208,0.094,1.021,-0.125,-0.355,-0.015,-0.459,-0.221,-0.937,0.268,0.036,-1.253,-0.093,-1.105,0.407,-1.439,-0.622,-0.027,-0.716,-1.351,-0.109,-0.219,1.295,-0.049,-1.411,-1.031,-1.469,-0.571,0.966,-1.023,-1.311,1.061,-0.492,-0.572,-0.876,0.05,0.386,-0.574,0.103,0.025,-0.206,0.486,-0.708,-0.021,0.459
26599,Hs.470943,0.127,-0.729,-0.314,0.292,-0.914,0.854,1.011,-0.644,0.38,-0.006,0.076,0.635,-1.535,0.238,-0.358,0.664,0.759,0.806,-0.911,1.496,1.536,0.129,0.469,1.562,-0.257,0.327,-0.706,-0.019,0.032,-0.08,0.249,0.991,-0.017,-0.424,0.398,-1.143,-0.077,-0.032,0.026,-0.829,-0.372,0.237,0.741,-1.169,0.516,-1.006,-0.917,0.018,0.135,-0.622,0.002,0.575,0.638,-0.581,0.309,-0.019,0.374,-0.418,0.479,0.594
26677,Hs.158287,1.377,0.705,-5.652,0.339,-0.005,-1.179,-1.517,-4.013,1.052,0.81,1.483,1.731,0.817,1.037,-3.397,-0.403,-1.179,-1.143,-1.092,-0.631,-0.759,-2.083,-3.905,-4.461,-4.919,-3.538,-5.318,1.144,-0.901,0.005,-0.244,0.21,-1.176,-0.813,-0.455,-0.823,0.229,0.18,0.375,-1.522,-3.318,0.861,0.447,-0.441,-1.349,0.384,-1.587,-0.553,-0.181,-1.185,-3.242,-0.184,0.29,-0.812,-0.509,0.561,0.489,-2.216,0.471,-0.618
29194,,-1.099,-0.859,1.324,-0.747,-0.788,-0.543,-0.148,2.218,-1.533,0.434,0.439,-0.036,0.164,-0.131,-0.492,-0.725,-0.53,-0.317,0.126,0.252,-0.672,-1.989,-0.792,-1.859,-2.225,-0.357,-0.669,-0.151,0.226,-0.902,-0.63,-1.107,-0.088,-1.084,-0.77,0.336,-0.741,0.135,-0.054,-0.556,0.256,-0.515,-0.811,0.792,-0.431,-0.286,0.569,0.94,-0.902,0.098,-0.645,-0.399,0.185,0.566,-0.384,0.833,0.551,0.128,0.499,0.219
31861,Hs.268698,0.595,-0.229,-1.433,-0.386,0.237,0.008,-0.116,-2.02,0.859,-0.883,-0.15,0.186,-0.555,-0.524,-0.358,-0.558,0.532,0.417,-0.79,0.392,1.699,0.968,0.377,0.559,0.4,0.119,0.866,0.307,-0.671,-0.141,0.268,-0.693,0.064,-0.49,0.088,-0.268,0.436,0.702,0.67,-0.628,-0.73,0.139,0.277,-0.365,0.597,-0.509,0.112,-0.439,0.564,0.374,-0.675,-0.225,0.299,-0.526,-0.026,-0.233,0.605,-1.546,0.443,0.091
31905,Hs.22587,0.315,-1.234,-0.916,-0.116,1.379,-1.258,-0.977,-0.738,-1.27,0.195,-0.907,0.843,0.251,1.344,-1.84,-0.363,0.739,0.385,-0.269,0.36,-0.228,-0.332,-0.682,1.399,-0.3,-0.599,-0.346,-0.764,0.251,-0.714,0.027,0.173,-0.889,-0.327,-1.566,-0.237,-0.086,-0.784,0.606,-0.342,-0.097,-0.378,-0.746,-0.263,-0.524,0.407,0.298,-0.268,0.661,-0.317,0.049,0.806,-0.153,-0.385,-0.507,-1.299,-0.89,-0.978,-0.151,-0.787
35271,Hs.21422,-4.184,-4.473,-1.713,-3.823,-5.746,-1.182,-2.244,-2.722,-3.866,-4.339,-3.634,1.088,-0.5,-0.094,-3.678,1.336,-4.195,-4.924,-3.198,-4.361,-2.186,-4.013,-2.716,-3.489,-5.238,1.429,2.263,-2.267,1.894,1.138,-2.679,2.021,-1.248,-2.499,2.109,1.365,-4.691,-5.428,-4.673,-0.53,1.542,-4.449,-3.024,-3.754,0.77,-0.17,2.333,-4.848,-4.273,-0.385,-3.868,-3.269,-2.226,-0.475,-2.994,-4.041,-0.515,-5.505,1.136,-4.707
36380,Hs.445818,-5.611,-4.931,-5.355,-4.179,-6.377,-6.1,-6.293,-3.821,-4.575,-6.574,-3.968,-5.906,-4.669,-6.088,-6.282,-5.635,-5.21,-4.898,-4.589,0.645,-4.742,-4.826,-3.496,-5.093,-5.615,-4.517,-5.474,-4.341,-4.927,-5.788,-4.593,-4.928,-5.887,-5.137,-5.898,-4.752,-6.009,-5.072,-5.565,-4.772,-4.835,-5.715,-4.234,-5.371,1.714,3.264,0.862,-4.926,-3.977,-2.056,-4.099,-4.659,-4.94,-4.655,-4.436,-5.126,-3.976,-6.473,-4.274,-6.233
37060,Hs.18268,1.192,-0.137,-1.007,-1.628,-0.573,-4.89,-4.264,-1.854,0.388,1.007,1.398,1.122,0.354,0.327,-2.676,-3.87,-0.476,-4.305,-5.174,-3.992,-3.48,-3.627,-0.155,1.919,-3.949,-2.464,-4.727,0.093,-0.542,-0.217,-2.158,-1.97,-1.661,-1.7,-2.304,-0.822,0.538,0.337,-0.514,-1.171,0.263,0.398,1.494,1.336,-1.97,0.125,-4.296,0.66,-0.586,-0.774,1.53,-1.595,-3.605,-1.352,1.666,-2.628,-1.381,-0.124,-0.235,-0.333
37054,Hs.279840,-3.98,1.658,-3.77,1.098,3.252,-5.066,-5.262,-2.991,0.855,1.031,-2.951,-1.097,-1.21,-0.108,-1.443,-1.695,-1.697,-1.993,-4.601,1.883,-3.214,-4.573,-3.055,-4.633,-3.883,-4.24,-4.208,-2.377,-2.213,-3.101,-3.66,-3.19,-4.382,-3.063,-4.094,-2.906,-1.176,2.778,-3.852,1.412,-2.534,-3.151,1.161,1.304,0.866,-3.094,-0.495,-1.084,3.725,2.843,-0.783,-2.24,-2.4,-2.097,-3.682,-3.431,1.485,-2.717,-1.206,-3.245
37153,Hs.6877,-0.549,-0.687,-1.448,-0.275,-0.551,-0.005,0.028,-0.399,-1.976,-0.697,-0.905,-1.595,-0.205,-1.365,-0.271,0.265,-0.329,0.611,-0.954,-0.456,-0.141,0.497,-0.001,0.874,0.213,0.367,-0.61,0.627,-0.212,-0.555,-0.386,-0.371,0.023,-0.566,-0.353,-0.65,-1.5,-0.306,-0.181,-0.561,-0.931,-0.722,-0.415,-1,-0.44,0.672,0.146,-0.451,-0.446,-0.994,-0.777,-0.282,-0.492,-0.339,-0.777,0.082,-0.556,-1.628,-0.588,-0.638
37330,Hs.190621,-1.498,-1.256,-1.134,-2.53,-2.043,-1.612,-2.05,-1.417,-1.291,-1.433,-1.197,-0.714,-0.556,-0.078,-0.472,-1.766,-1.237,-2.471,-4.874,-1.654,-1.839,-1.91,-0.243,-2.686,-1.411,-2.381,-1.712,-0.732,-0.973,-1.517,-1.711,-2.017,-1.467,-1.464,-1.722,-1.303,-1.449,-2.331,-2.41,-1.723,-1.349,-2.593,-1.933,-2.114,-0.457,2.389,-1.096,-1.95,-1.915,-1.353,1.844,-0.107,-1.027,-1.565,-1.91,-0.911,-0.957,-3.235,-1.961,-2.292
38915,Hs.200821,-0.859,-0.658,-0.018,-0.542,-0.484,-1.006,-1.021,0.116,-2.624,0.121,-1.147,-0.632,-0.714,-1.014,-0.097,-0.473,-1.297,-0.235,-0.095,-0.574,-0.766,0.267,-1.058,-0.772,0.111,-0.797,-0.254,0.077,-0.568,-0.938,-1.036,-0.675,-1.003,-1.07,-1.762,-0.201,-1.255,-0.621,-1.104,-1.286,0.066,-0.504,-0.254,-0.371,-0.294,1.16,1.97,-0.388,-0.027,-0.425,-0.52,-0.714,-1.531,-0.291,0.282,-0.063,-0.541,-0.933,1.023,0.741
41232,Hs.386684,0.256,-0.048,-0.977,-1.098,-1.84,-2.576,-2.081,-0.662,-0.249,-0.251,-0.451,-1.207,-0.591,-1.103,2.136,-0.739,-0.159,-0.253,-1.242,-0.625,0.202,-0.736,-0.294,-0.191,2.813,-1.203,0.376,-0.131,-0.658,-0.102,-1.15,-1.806,-2.232,-1.154,-1.272,-0.477,-0.001,-0.633,0.774,-1.497,-0.083,-0.325,0.485,-0.215,-0.602,-1.231,-0.411,-0.554,-1.051,0.961,-0.877,-0.423,-0.943,-1.47,-0.191,-0.689,-0.456,-1.433,-0.648,-2.172
37627,Hs.34024,-0.279,0.614,-1.684,-0.123,-0.908,-0.756,-0.778,-0.897,-1.512,0.064,-0.207,-0.32,0.626,-0.191,-1.292,-0.763,-0.846,-1.079,-0.72,-0.976,-2.258,-1.736,-0.351,-1.549,-2.451,-0.712,-0.293,-0.059,0.067,0.175,0.279,0.973,-1.134,-0.44,0.988,0.012,0.252,1.094,1.13,0.42,-0.131,-0.648,0.451,-0.722,0.426,-0.326,-0.093,1.648,-0.162,-0.574,-0.388,-0.548,0.293,0.265,-0.138,0.232,0.695,-0.489,0.561,0.168
130532,,-2.06,-1.231,-1.401,-1.927,-4.788,-2.889,-2.955,-2.069,-4.716,-1.608,-0.95,-2.698,-1.992,-1.982,-2.309,-1.458,-1.808,-2.413,-1.706,-2.18,-2.819,-3.393,-2.218,3.174,-3.188,-1.012,-2.48,-1.356,-2.361,-1.708,-2.455,-2.29,-2.98,-1.587,-1.7,-2.328,-1.323,-1.645,-1.559,-1.81,-1.6,-1.734,-2.245,-3.254,-1.558,-2.638,-1.914,-1.374,-3.142,-2.773,-2.055,-2.385,-1.742,-1.328,-1.874,-2.021,-1.418,-3.396,-2.746,-2.549
130482,,-1.343,-3.962,-4.157,1.905,-1.219,-4.328,-4.456,-2.704,-4.09,-1.175,-3.096,-4.095,-2.844,-4.405,-3.957,-3.612,-2.471,-3.072,-4.119,-4.646,-3.208,-4.253,-2.954,-2.236,-4.338,-3.534,-3.932,2.33,-3.697,-2.161,-0.036,-1.084,-4.195,0.335,-3.666,-0.141,3.711,-1.965,4.108,1.406,-0.12,-2.344,-0.241,1.355,-1.959,-0.767,1.751,-2.701,0.832,0.117,-1.949,-1.096,1.421,0.404,0.828,-0.193,2.503,-2.47,-0.085,-0.167
